Timestamp,Hostname,EventID,User,ServiceName,Message,Exe
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Returning 1 lease documents for contentid F5F7FB0A-DC21-AE16-C007-78D99DDA99CB  Function: ClipStorage::GetLeaseDocumentsForKeyDocument  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (460)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Getting user tickets for S-1-5-21-562782117-3786257529-2867160909-1002  Function: SingleUserStoredIdentitySnapshot::CaptureIdentity  Source: onecoreuap\enduser\winstore\licensemanager\lib\identity.cpp (351)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Failure Message: hr: 0x80070002  Function:   Source: onecoreuap\enduser\winstore\auth\lib\winstoreauth.cpp (1432)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,"No user tickets captured for S-1-5-21-562782117-3786257529-2867160909-1002, so this might not end well. HRESULT of WAM call: 0x00000000.  Function: SingleUserStoredIdentitySnapshot::CaptureIdentity  Source: onecoreuap\enduser\winstore\licensemanager\lib\identity.cpp (419)#015",Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Identity capture succeeded  Function: SingleUserStoredIdentitySnapshot::CaptureIdentity  Source: onecoreuap\enduser\winstore\licensemanager\lib\identity.cpp (441)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Transmitting old key for content ID F5F7FB0A-DC21-AE16-C007-78D99DDA99CB in request for content ID F5F7FB0A-DC21-AE16-C007-78D99DDA99CB with validity 7f000000 (detail 0x00000000)  Function: LicenseProxyService::CreateLicenseRequestBody  Source: onecoreuap\enduser\winstore\licensemanager\lib\proxy.cpp (1895)#015,Null
1740105760,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Requesting license for F5F7FB0A-DC21-AE16-C007-78D99DDA99CB at /v7.0/licenses/content (https://licensing.mp.microsoft.com) (Corr: 8es2iZFF80iKfY6I.2)  Function: LicenseProxyService::DoRequestLicense  Source: onecoreuap\enduser\winstore\licensemanager\lib\proxy.cpp (2021)#015,Null
1740105760,DESKTOP-RKJA15K,4,System,Microsoft-Windows-SMBServer,Received Mib notification type MibParameterNotification for interface 3#015,Null
1740105760,DESKTOP-RKJA15K,4,System,Microsoft-Windows-SMBServer,"Endpoint added.    Name: DESKTOP-RKJA15K   Domain Name: WORKGROUP  Transport Name: \Device\NetBT_Tcpip_{0BDA54E9-486E-457A-BCA2-0EBED671A93A}  Transport Flags: 0x1    Guidance:    You should expect this event when the server starts listening on an interface, such as during system restart or when enabling a network adaptor. No user action is required.#015",Null
1740105761,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,"License Response: 1 leases, 1 keys for contentId F5F7FB0A-DC21-AE16-C007-78D99DDA99CB (Corr: 8es2iZFF80iKfY6I.2, Svr: 9)  Function: LogRequestLicenseSuccess  Source: onecoreuap\enduser\winstore\licensemanager\lib\telemetry.cpp (246)#015",Null
1740105761,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Installing lease  Function: ClipStorage::StoreLeaseDocument  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (285)#015,Null
1740105761,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Installing key document  Function: ClipStorage::StoreKeyDocument  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipstorage.cpp (67)#015,Null
1740105761,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Decoding: {}  Function: DecodeCustomPolicy  Source: onecoreuap\enduser\winstore\licensemanager\lib\clipdocument.cpp (50)#015,Null
1740105764,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Getting user tickets for S-1-5-21-562782117-3786257529-2867160909-1002  Function: SingleUserStoredIdentitySnapshot::CaptureIdentity  Source: onecoreuap\enduser\winstore\licensemanager\lib\identity.cpp (351)#015,Null
1740105764,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,Failure Message: hr: 0x80070002  Function:   Source: onecoreuap\enduser\winstore\auth\lib\winstoreauth.cpp (1432)#015,Null
1740105764,DESKTOP-RKJA15K,6792,System,Microsoft-Windows-Store,"No user tickets captured for S-1-5-21-562782117-3786257529-2867160909-1002, so this might not end well. HRESULT of WAM call: 0x00000000.  Function: SingleUserStoredIdentitySnapshot::CaptureIdentity  Source: onecoreuap\enduser\winstore\licensemanager\lib\identity.cpp (419)#015",Null
